Digest-guided beam over deliberately different forward states
preset=R5-rothash2 seed_left=000000 seed_right=000001 depth=8 beam_width=128 branch=16
moves_per_symbol=6 diagonal_closure=64 orbit_closure=128 squeeze_bytes=32 squeeze_symbols_per_byte=4 foldback=on
depth=0 best_digest_bits=116 forward_bits=261
depth=1 expanded=256 generic_level_min_digest_bits=107 generic_cumulative_min_digest_bits=107 best_digest_bits=107 best_forward_bits=572
depth=2 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=96 best_digest_bits=96 best_forward_bits=829
depth=3 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=95 best_digest_bits=90 best_forward_bits=1019
depth=4 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=94 best_digest_bits=93 best_forward_bits=1154
depth=5 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=94 best_digest_bits=99 best_forward_bits=1333
depth=6 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=93 best_digest_bits=97 best_forward_bits=1572
depth=7 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=93 best_digest_bits=96 best_forward_bits=1603
depth=8 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=93 best_digest_bits=97 best_forward_bits=1607
cumulative_pairs_evaluated=229633
generic_cumulative_min_digest_bits=93
global_best_depth=3
global_best_digest_bits=90
global_best_forward_bits=1019
global_best_left=000000f8cdd2
global_best_right=0000015cf116
exact_digest_collision=no
phase=after-forward state_bits=1019 state_bytes=250
phase=after-foldback state_bits=1635 state_bytes=400
phase=after-diagonal-closure state_bits=2038 state_bytes=513
phase=after-orbit-closure state_bits=2110 state_bytes=512
phase=final state_bits=2062 state_bytes=511
phase=after-squeeze-byte index=0 state_bits=2087 emitted_prefix_bits=3
phase=after-squeeze-byte index=1 state_bits=2084 emitted_prefix_bits=6
phase=after-squeeze-byte index=2 state_bits=2084 emitted_prefix_bits=9
phase=after-squeeze-byte index=3 state_bits=2034 emitted_prefix_bits=11
phase=after-squeeze-byte index=4 state_bits=2039 emitted_prefix_bits=15
phase=after-squeeze-byte index=5 state_bits=2028 emitted_prefix_bits=16
phase=after-squeeze-byte index=6 state_bits=2117 emitted_prefix_bits=18
phase=after-squeeze-byte index=7 state_bits=2094 emitted_prefix_bits=21
phase=after-squeeze-byte index=8 state_bits=2091 emitted_prefix_bits=24
phase=after-squeeze-byte index=9 state_bits=2093 emitted_prefix_bits=26
phase=after-squeeze-byte index=10 state_bits=2114 emitted_prefix_bits=26
phase=after-squeeze-byte index=11 state_bits=2112 emitted_prefix_bits=29
phase=after-squeeze-byte index=12 state_bits=2071 emitted_prefix_bits=31
phase=after-squeeze-byte index=13 state_bits=2111 emitted_prefix_bits=34
phase=after-squeeze-byte index=14 state_bits=2035 emitted_prefix_bits=39
phase=after-squeeze-byte index=15 state_bits=2097 emitted_prefix_bits=41
phase=after-squeeze-byte index=16 state_bits=2095 emitted_prefix_bits=44
phase=after-squeeze-byte index=17 state_bits=2066 emitted_prefix_bits=48
phase=after-squeeze-byte index=18 state_bits=2035 emitted_prefix_bits=51
phase=after-squeeze-byte index=19 state_bits=2059 emitted_prefix_bits=55
phase=after-squeeze-byte index=20 state_bits=2045 emitted_prefix_bits=57
phase=after-squeeze-byte index=21 state_bits=2047 emitted_prefix_bits=62
phase=after-squeeze-byte index=22 state_bits=2058 emitted_prefix_bits=65
phase=after-squeeze-byte index=23 state_bits=2043 emitted_prefix_bits=69
phase=after-squeeze-byte index=24 state_bits=2034 emitted_prefix_bits=72
phase=after-squeeze-byte index=25 state_bits=2032 emitted_prefix_bits=74
phase=after-squeeze-byte index=26 state_bits=2037 emitted_prefix_bits=77
phase=after-squeeze-byte index=27 state_bits=2043 emitted_prefix_bits=78
phase=after-squeeze-byte index=28 state_bits=2035 emitted_prefix_bits=82
phase=after-squeeze-byte index=29 state_bits=2031 emitted_prefix_bits=85
phase=after-squeeze-byte index=30 state_bits=2072 emitted_prefix_bits=89
phase=after-squeeze-byte index=31 state_bits=2062 emitted_prefix_bits=90
