Digest-guided beam over deliberately different forward states
preset=R5-rothash2 seed_left=a5c301 seed_right=5a3cfe depth=8 beam_width=128 branch=16
moves_per_symbol=6 diagonal_closure=64 orbit_closure=128 squeeze_bytes=32 squeeze_symbols_per_byte=4 foldback=on
depth=0 best_digest_bits=118 forward_bits=928
depth=1 expanded=256 generic_level_min_digest_bits=107 generic_cumulative_min_digest_bits=107 best_digest_bits=106 best_forward_bits=1194
depth=2 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=96 best_digest_bits=97 best_forward_bits=1347
depth=3 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=95 best_digest_bits=91 best_forward_bits=1311
depth=4 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=94 best_digest_bits=97 best_forward_bits=1543
depth=5 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=94 best_digest_bits=98 best_forward_bits=1600
depth=6 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=93 best_digest_bits=96 best_forward_bits=1786
depth=7 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=93 best_digest_bits=96 best_forward_bits=1849
depth=8 expanded=32768 generic_level_min_digest_bits=96 generic_cumulative_min_digest_bits=93 best_digest_bits=94 best_forward_bits=1887
cumulative_pairs_evaluated=229633
generic_cumulative_min_digest_bits=93
global_best_depth=3
global_best_digest_bits=91
global_best_forward_bits=1311
global_best_left=a5c301488de2
global_best_right=5a3cfeacf186
exact_digest_collision=no
phase=after-forward state_bits=1311 state_bytes=321
phase=after-foldback state_bits=1765 state_bytes=421
phase=after-diagonal-closure state_bits=2034 state_bytes=513
phase=after-orbit-closure state_bits=2015 state_bytes=515
phase=final state_bits=2058 state_bytes=513
phase=after-squeeze-byte index=0 state_bits=2007 emitted_prefix_bits=4
phase=after-squeeze-byte index=1 state_bits=2056 emitted_prefix_bits=9
phase=after-squeeze-byte index=2 state_bits=2016 emitted_prefix_bits=13
phase=after-squeeze-byte index=3 state_bits=1990 emitted_prefix_bits=17
phase=after-squeeze-byte index=4 state_bits=2055 emitted_prefix_bits=17
phase=after-squeeze-byte index=5 state_bits=2077 emitted_prefix_bits=20
phase=after-squeeze-byte index=6 state_bits=2052 emitted_prefix_bits=22
phase=after-squeeze-byte index=7 state_bits=2077 emitted_prefix_bits=26
phase=after-squeeze-byte index=8 state_bits=2086 emitted_prefix_bits=29
phase=after-squeeze-byte index=9 state_bits=2043 emitted_prefix_bits=34
phase=after-squeeze-byte index=10 state_bits=2030 emitted_prefix_bits=37
phase=after-squeeze-byte index=11 state_bits=2047 emitted_prefix_bits=41
phase=after-squeeze-byte index=12 state_bits=2060 emitted_prefix_bits=44
phase=after-squeeze-byte index=13 state_bits=2056 emitted_prefix_bits=49
phase=after-squeeze-byte index=14 state_bits=2026 emitted_prefix_bits=51
phase=after-squeeze-byte index=15 state_bits=2035 emitted_prefix_bits=54
phase=after-squeeze-byte index=16 state_bits=2046 emitted_prefix_bits=57
phase=after-squeeze-byte index=17 state_bits=2071 emitted_prefix_bits=60
phase=after-squeeze-byte index=18 state_bits=2041 emitted_prefix_bits=62
phase=after-squeeze-byte index=19 state_bits=2064 emitted_prefix_bits=63
phase=after-squeeze-byte index=20 state_bits=2085 emitted_prefix_bits=65
phase=after-squeeze-byte index=21 state_bits=2073 emitted_prefix_bits=67
phase=after-squeeze-byte index=22 state_bits=2050 emitted_prefix_bits=69
phase=after-squeeze-byte index=23 state_bits=2084 emitted_prefix_bits=73
phase=after-squeeze-byte index=24 state_bits=2081 emitted_prefix_bits=75
phase=after-squeeze-byte index=25 state_bits=2060 emitted_prefix_bits=76
phase=after-squeeze-byte index=26 state_bits=2099 emitted_prefix_bits=77
phase=after-squeeze-byte index=27 state_bits=2031 emitted_prefix_bits=81
phase=after-squeeze-byte index=28 state_bits=2045 emitted_prefix_bits=82
phase=after-squeeze-byte index=29 state_bits=2051 emitted_prefix_bits=85
phase=after-squeeze-byte index=30 state_bits=2032 emitted_prefix_bits=88
phase=after-squeeze-byte index=31 state_bits=2058 emitted_prefix_bits=91
