Differential phase search
preset=R5-rothash2 samples=16 message_bytes=16 mode=single
moves_per_symbol=6 diagonal_closure=64 orbit_closure=128 squeeze_bytes=32 squeeze_symbols_per_byte=4 foldback=on

phase,index,mean_cube_bits,min,max,mean_cube_bytes,min,max,exact_states
initial,0,0.0000,0,0,0.0000,0,0,2048
after-forward,16,1407.5205,214,2070,338.8950,50,488,0
after-foldback,16,1994.5361,1124,2140,492.3770,273,512,0
after-diagonal-closure,64,2047.3936,1948,2154,509.8843,503,512,0
after-orbit-closure,128,2047.7207,1928,2186,510.0308,504,512,0
after-squeeze-byte,0,2047.7207,1932,2150,509.9736,504,512,0
after-squeeze-byte,1,2047.9355,1914,2152,510.0400,504,512,0
after-squeeze-byte,2,2048.3848,1940,2160,510.0874,503,512,0
after-squeeze-byte,3,2047.6143,1916,2168,510.0215,503,512,0
after-squeeze-byte,4,2047.6172,1942,2160,509.9688,504,512,0
after-squeeze-byte,5,2047.9932,1934,2182,509.9771,504,512,0
after-squeeze-byte,6,2048.2188,1922,2162,509.9995,504,512,0
after-squeeze-byte,7,2049.0879,1942,2158,510.0298,504,512,0
after-squeeze-byte,8,2048.7832,1942,2152,509.9941,504,512,0
after-squeeze-byte,9,2047.8389,1934,2140,509.9648,502,512,0
after-squeeze-byte,10,2046.9727,1946,2142,509.9409,504,512,0
after-squeeze-byte,11,2048.4932,1938,2164,509.9727,503,512,0
after-squeeze-byte,12,2048.1377,1942,2152,509.9790,504,512,0
after-squeeze-byte,13,2047.7021,1940,2150,509.9609,504,512,0
after-squeeze-byte,14,2048.4902,1912,2150,509.9995,503,512,0
after-squeeze-byte,15,2048.5889,1938,2148,509.9512,503,512,0
after-squeeze-byte,16,2049.0303,1960,2134,509.9917,504,512,0
after-squeeze-byte,17,2048.7959,1944,2166,509.9414,505,512,0
after-squeeze-byte,18,2048.1348,1914,2150,510.0000,505,512,0
after-squeeze-byte,19,2048.1709,1948,2152,510.0322,505,512,0
after-squeeze-byte,20,2048.2139,1942,2164,510.0107,503,512,0
after-squeeze-byte,21,2047.3867,1940,2164,509.9785,504,512,0
after-squeeze-byte,22,2047.0449,1936,2146,509.9775,503,512,0
after-squeeze-byte,23,2046.9678,1944,2156,510.0239,503,512,0
after-squeeze-byte,24,2047.2559,1944,2166,510.0405,504,512,0
after-squeeze-byte,25,2047.1074,1912,2150,509.9790,504,512,0
after-squeeze-byte,26,2047.3623,1918,2152,510.0181,504,512,0
after-squeeze-byte,27,2047.0293,1950,2182,510.0063,503,512,0
after-squeeze-byte,28,2047.4502,1948,2148,509.9653,503,512,0
after-squeeze-byte,29,2048.8398,1940,2148,509.9902,503,512,0
after-squeeze-byte,30,2048.7012,1922,2136,510.0107,503,512,0
after-squeeze-byte,31,2048.0449,1922,2168,510.0068,502,512,0
final,32,2048.0449,1922,2168,510.0068,502,512,0

digest comparisons=2048 mean_bits=128.4619 min=103 max=154 exact_digest_matches=0
